This is test output
file open
harry : 1173
potter : 64
and : 1915
the : 3626
sorcerer's : 16
stone : 66
chapter : 17
one : 241
boy : 72
who : 158
lived : 7
mr : 80
mrs : 44
dursley : 53
of : 1256
number : 16
four : 31
privet : 16
drive : 20
were : 305
proud : 5
to : 1852
say : 71
that : 579
they : 590
perfectly : 5
normal : 10
thank : 8
you : 792
very : 171
much : 73
last : 80
people : 91
you'd : 22
expect : 13
be : 363
involved : 5
in : 954
anything : 64
strange : 21
or : 109
mysterious : 6
because : 85
just : 180
didn't : 194
hold : 12
with : 414
such : 21
nonsense : 3
was : 1185
director : 2
a : 1687
firm : 2
called : 43
grunnings : 2
which : 89
made : 66
drills : 6
he : 1519
big : 28
beefy : 1
man : 32
hardly : 22
any : 61
neck : 18
although : 11
did : 100
have : 294
large : 51
mustache : 5
thin : 10
blonde : 2
had : 702
nearly : 36
twice : 15
usual : 17
amount : 1
came : 75
useful : 5
as : 526
she : 229
spent : 11
so : 229
her : 172
time : 115
craning : 2
over : 169
garden : 6
fences : 1
spying : 3
on : 620
neighbors : 2
dursleys : 42
small : 32
son : 9
dudley : 109
their : 217
opinion : 5
there : 244
no : 162
finer : 2
anywhere : 7
everything : 26
wanted : 45
but : 483
also : 15
secret : 13
greatest : 5
fear : 10
somebody : 3
would : 108
discover : 1
it : 944
think : 121
could : 193
bear : 5
if : 244
anyone : 36
found : 68
out : 356
about : 220
potters : 10
dursley's : 2
sister : 13
hadn't : 54
met : 18
for : 364
several : 13
years : 48
fact : 13
pretended : 3
good-for-nothing : 1
husband : 1
undursleyish : 1
possible : 11
shuddered : 3
what : 321
arrived : 16
street : 21
knew : 60
too : 93
never : 122
even : 105
seen : 53
him : 469
this : 230
another : 55
good : 74
reason : 22
keeping : 10
away : 67
want : 71
mixing : 2
child : 2
like : 191
when : 177
woke : 10
up : 345
dull : 2
gray : 11
tuesday : 2
our : 41
story : 11
starts : 2
nothing : 45
cloudy : 2
sky : 13
outside : 36
suggest : 4
things : 50
soon : 13
happening : 4
all : 383
country : 3
hummed : 3
picked : 16
his : 937
most : 30
boring : 2
tie : 1
work : 27
gossiped : 1
happily : 5
wrestled : 1
screaming : 4
into : 219
high : 43
chair : 10
none : 11
them : 306
noticed : 28
tawny : 2
owl : 40
flutter : 2
past : 43
window : 32
at : 625
half : 31
eight : 5
briefcase : 1
pecked : 1
cheek : 4
tried : 63
kiss : 3
good-bye : 5
missed : 4
now : 130
having : 15
tantrum : 3
throwing : 10
cereal : 1
walls : 16
little : 71
tyke, : 1
chortled : 2
left : 82
house : 73
got : 198
car : 19
backed : 3
four's : 1
corner : 24
first : 106
sign : 16
something : 113
peculiar : 4
-- : 775
cat : 23
reading : 4
map : 4
second : 41
realize : 10
then : 152
jerked : 10
head : 98
around : 140
look : 113
again : 94
tabby : 4
standing : 33
wasn't : 75
sight : 25
been : 209
thinking : 13
must : 56
trick : 3
light : 26
blinked : 5
stared : 35
back : 247
drove : 6
road : 7
watched : 21
mirror : 43
said : 793
looking : 97
cats : 6
couldn't : 105
read : 38
maps : 1
signs : 1
gave : 37
himself : 64
shake : 7
put : 58
mind : 46
toward : 71
town : 5
thought : 95
except : 24
order : 3
hoping : 11
get : 193
day : 53
edge : 11
driven : 3
by : 150
else : 33
sat : 45
morning : 31
traffic : 3
jam : 3
help : 25
noticing : 9
seemed : 72
lot : 46
strangely : 5
dressed : 7
cloaks : 4
funny : 26
clothes : 8
getups : 1
saw : 63
young : 10
supposed : 16
some : 80
stupid : 16
new : 37
